ID,memo,SMILES,0,mol
C0001,PEDOT_PSS_PH1000,[Mg]C1=C(OCCO2)C2=C([Mg])S1.[Mg]CC(C3=CC=C(S(O)(=O)=O)C=C3)[Mg],,
C0002,Water,[H]O[H],,
C0003,P001_HFA_3H2O,C(=O)(C(F)(F)F)C(F)(F)F.[H]O[H],,
C0004,P001_HFA,C(=O)(C(F)(F)F)C(F)(F)F,,
C0005,H2SO4,OS(O)(=O)=O,,
C0006,MAI,C[NH3+].[I-],,
C0007,MABr,C[NH3+].[Br-],,
C0008,Ethanol,CCO,,
C0009,Methanol,CO,,
C0010,DMF,O=C(NC)C,,
C0011,Acetone,O=C(C)C,,
C0012,Ethyleneglycol,OCCO,,
C0013,GBL,O=C1CCCO1,,
C0014,DMSO,CS(C)=O,,
C0015,HNO3,O=[N+]([O-])O,,
C0016,N2,N#N,,
C0017,PEDOT_P,[Mg]C1=C(OCCO2)C2=C([Mg])S1,,
C0018,PEDOT_PSS_P,[Mg]C1=C(OCCO2)C2=C([Mg])S1.[Mg]CC(C3=CC=C(S(O)(=O)=O)C=C3)[Mg],creviousP,
C0019,Dimethylsulfate,O=S(=O)(OC)OC,,
C0020,PEDOT_PSS_PH500,[Mg]C1=C(OCCO2)C2=C([Mg])S1.[Mg]CC(C3=CC=C(S(O)(=O)=O)C=C3)[Mg],,
C0021,NMP,CN1CCCC1=O,,
C0022,PEDOT_PSS_Agfa Gevaert,[Mg]C1=C(OCCO2)C2=C([Mg])S1.[Mg]CC(C3=CC=C(S(O)(=O)=O)C=C3)[Mg],,
C0023,Diethylene_glycol,C(COCCO)O,,
C0024,ZnCl2,[Cl-].[Cl-].[Zn2+],,
C0025,CuCl2,[Cl-].[Cl-].[Cu2+],,
C0026,InCl3,[Cl-].[Cl-].[Cl-].[In3+],,
C0027,LiCl,[Li+].[Cl-],,
C0028,NiCl2,[Cl-].[Cl-].[Ni2+],,
C0029,NaI,[Na+].[Cl-],,
C0030,EMIM_Cl,C[N+]1=CN(C=C1)CC.[Cl-],,
C0031,EMIM_ES,C[N+]1=CN(C=C1)CC.[O-]S(=O)(OCC)=O,,
C0032,EMIM_TCM,C[N+]1=CN(C=C1)CC.N#C[C-](C#N)C#N,,
C0033,EMIM_TCB,C[N+]1=CN(CC)C=C1.N#C[B-](C#N)(C#N)C#N,,
C0034,PEDOT_PSS_Baytron_P_V4071,[Mg]C1=C(OCCO2)C2=C([Mg])S1.[Mg]CC(C3=CC=C(S(O)(=O)=O)C=C3)[Mg],,
C0035,NNdimethylacetomide,O=C(C)N(C)C,,
C0036,4_Methoxyphenol,OC1=CC=C(OC)C=C1,,
C0037,Acetonitrile,CC#N,,
C0038,Cyclohexone,O=C1CCCCC1,,
C0039,Nitromethane,C[N+](=O)[O-],,
C0040,Pyridine,c1ccncc1,,
C0041,PEDOT_PSS_P042,[Mg]C1=C(OCCO2)C2=C([Mg])S1.[Mg]CC(C3=CC=C(S(O)(=O)=O)C=C3)[Mg],,
C0042,IPA,CC(O)C,,
C0043,P043_MSA,O=S(O)(C)=O,,
C0044,P043_BSA,O=S(O)(C1=CC=CC=C1)=O,,
C0045,P043_CI_BSA,O=S(O)(C1=CC=C(Cl)C=C1)=O,,
C0046,P043_HO_BSA,O=S(O)(C1=CC=C(O)C=C1)=O,,
C0047,P043_TSA,O=S(O)(C1=CC=C(C)C=C1)=O,,
C0048,P043_EBSA,O=S(O)(C1=CC=C(CC)C=C1)=O,,
C0049,P043_NSA,O=S(O)(C1=CC=C(C=CC=C2)C2=C1)=O,,
C0050,P043_CSA,O=S(O)(C12CCC(C2(C)C)CC1=O)=O,,
C0051,Hydrazine,NN,,
C0052,P044Tannic_acid,C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OCC3C(C(C(C(O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O,,
C0053,DBU,N\2=C1\N(CCCCC1)CCC/2,,
C0054,HCl,[H]Cl,,
C0055,HCOOH,O=CO,,
C0056,NaOH,[Na+].[OH-],,
C0057,P048_P123,[Mg]OCC[Mg].[Mg]OCC(C)[Mg],,
