ID,SMILES,0,mol
PEDOT_PSS_PH1000,[Mg]C1=C(OCCO2)C2=C([Mg])S1.[Mg]CC(C3=CC=C(S(O)(=O)=O)C=C3)[Mg],,
Water,[H]O[H],,
P001_HFA_3H2O,C(=O)(C(F)(F)F)C(F)(F)F.[H]O[H],,
P001_HFA,C(=O)(C(F)(F)F)C(F)(F)F,,
H2SO4,OS(O)(=O)=O,,
MAI,C[NH3+].[I-],,
MABr,C[NH3+].[Br-],,
Ethanol,CCO,,
Methanol,CO,,
DMF,O=C(NC)C,,
Acetone,O=C(C)C,,
Ethyleneglycol,OCCO,,
GBL,O=C1CCCO1,,
DMSO,CS(C)=O,,
HNO3,O=[N+]([O-])O,,
N2,N#N,,
PEDOT_P,[Mg]C1=C(OCCO2)C2=C([Mg])S1,,
PEDOT_PSS_P,[Mg]C1=C(OCCO2)C2=C([Mg])S1.[Mg]CC(C3=CC=C(S(O)(=O)=O)C=C3)[Mg],creviousP,
Dimethylsulfate,O=S(=O)(OC)OC,,
PEDOT_PSS_PH500,[Mg]C1=C(OCCO2)C2=C([Mg])S1.[Mg]CC(C3=CC=C(S(O)(=O)=O)C=C3)[Mg],,
NMP,CN1CCCC1=O,,
PEDOT_PSS_Agfa Gevaert,[Mg]C1=C(OCCO2)C2=C([Mg])S1.[Mg]CC(C3=CC=C(S(O)(=O)=O)C=C3)[Mg],,
Diethylene_glycol,C(COCCO)O,,
ZnCl2,[Cl-].[Cl-].[Zn2+],,
CuCl2,[Cl-].[Cl-].[Cu2+],,
InCl3,[Cl-].[Cl-].[Cl-].[In3+],,
LiCl,[Li+].[Cl-],,
NiCl2,[Cl-].[Cl-].[Ni2+],,
NaI,[Na+].[Cl-],,
EMIM_Cl,C[N+]1=CN(C=C1)CC.[Cl-],,
EMIM_ES,C[N+]1=CN(C=C1)CC.[O-]S(=O)(OCC)=O,,
EMIM_TCM,C[N+]1=CN(C=C1)CC.N#C[C-](C#N)C#N,,
EMIM_TCB,C[N+]1=CN(CC)C=C1.N#C[B-](C#N)(C#N)C#N,,
PEDOT_PSS_Baytron_P_V4071,[Mg]C1=C(OCCO2)C2=C([Mg])S1.[Mg]CC(C3=CC=C(S(O)(=O)=O)C=C3)[Mg],,
NNdimethylacetomide,O=C(C)N(C)C,,
4_Methoxyphenol,OC1=CC=C(OC)C=C1,,
Acetonitrile,CC#N,,
Cyclohexone,O=C1CCCCC1,,
Nitromethane,C[N+](=O)[O-],,
Pyridine,c1ccncc1,,
PEDOT_PSS_P042,[Mg]C1=C(OCCO2)C2=C([Mg])S1.[Mg]CC(C3=CC=C(S(O)(=O)=O)C=C3)[Mg],,
IPA,CC(O)C,,
P043_MSA,O=S(O)(C)=O,,
P043_BSA,O=S(O)(C1=CC=CC=C1)=O,,
P043_CI_BSA,O=S(O)(C1=CC=C(Cl)C=C1)=O,,
P043_HO_BSA,O=S(O)(C1=CC=C(O)C=C1)=O,,
P043_TSA,O=S(O)(C1=CC=C(C)C=C1)=O,,
P043_EBSA,O=S(O)(C1=CC=C(CC)C=C1)=O,,
P043_NSA,O=S(O)(C1=CC=C(C=CC=C2)C2=C1)=O,,
P043_CSA,O=S(O)(C12CCC(C2(C)C)CC1=O)=O,,
Hydrazine,NN,,
P044Tannic_acid,C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OCC3C(C(C(C(O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O,,
DBU,N\2=C1\N(CCCCC1)CCC/2,,
HCl,[H]Cl,,
HCOOH,O=CO,,
NaOH,[Na+].[OH-],,
P048_P123,[Mg]OCC[Mg].[Mg]OCC(C)[Mg],,
