Name,Unit,log,,,
Absolute molar magnetic susceptibility,[10^(-6) cm^3/mol],+,,,
Absolute standard enthalpy of formation,[kJ/mol],,,,
Amorphous Density,[g/cm3],,,,
Amorphous Thermal Conductivity,[W/m/K],+,,,
Band gap,[eV],,,,
Simulated Band gap,[eV],,,,
Boiling temperature,[oC],,,,
Simulated Highest occupied molecular orbital,[eV],,,,
Simulated Lowest unoccupied molecular orbital,[eV],,,,
Broad peak,[No unit],,,,
Converted Oxidation potential (V vs NHE),[V vs NHE],,,,
Converted Oxidation/Reduction potential (V vs NHE),[V vs NHE],,,,
Converted Reduction potential (V vs NHE),[V vs NHE],,,,
Crystalline Density,[g/cm3],,,,
Crystalline Thermal Conductivity,[W/m/K],+,,,
Density,[g/cm3],,,,
Dipole Moment,[debye],,,,
Simulated Dipole Moment,[debye],,,,
Electric conductivity,[S/cm],,,,
Flash temperature,[oC],,,,
Glass expansivity,[10^(-4) cm3/g/K],,,,
Glass transition temperature,[oC],,,,
Heat Capacity,[J/g/K],,,,
Ionic conductivity,[S/cm],+,,,
Ionization Energy,[eV],,,,
Liquid expansivity,[10^(-4) cm3/g/K],,,,
Liquid Heat Capacity,[J/g/K],,,,
Melting enthalpy,[kJ/mol],,,,
Melting temperature,[oC],,,,
Molar concentration,[mol/L],+,,,
Molar Heat Capacity,[J/mol/K],,,,
Molar Solubility,[mol/L],+,,,
Molar Volume,[cm3/mol],,,,
Number average molecular weight,[g/mol],,,,
Oxidation potential (V vs Ag/Ag+),[V vs Ag/Ag+],,,,
Oxidation potential (V vs Fc/Fc+),[V vs Fc/Fc+],,,,
Oxidation potential (V vs Li/Li+),[V vs Li/Li+],,,,
Oxidation potential (V vs NHE),[V vs NHE],,,,
Oxidation potential (V vs SCE),[V vs SCE],,,,
Oxidation potential (V vs SHE),[V vs SHE],,,,
Oxidation/Reduction potential (V vs Li/Li+),[V vs Li/Li+],,,,
Oxidation/Reduction potential (V vs NHE),[V vs NHE],,,,
Oxidation/Reduction potential (V vs SHE),[V vs SHE],,,,
Partition coefficient,[-],,,,
Permittivity,[-],,,,
pKa,[-],,,,
Polarizability,[A3],,,,
Polydispersity,[-],,,,
Reduction potential (V vs Ag/Ag+),[V vs Ag/Ag+],,,,
Reduction potential (V vs Fc/Fc+),[V vs Fc/Fc+],,,,
Reduction potential (V vs Li/Li+),[V vs Li/Li+],,,,
Reduction potential (V vs NHE),[V vs NHE],,,,
Reduction potential (V vs SCE),[V vs SCE],,,,
Reduction potential (V vs SHE),[V vs SHE],,,,
Refractive index,[-],,,,
Simulated Biodegrability,[-],,,,
Simulated Boiling temperature,[oC],,,,
Simulated Melting temperature,[oC],,,,
Simulated Partition coefficient,[-],,,,
Solid Heat Capacity,[J/g/K],,,,
Solubility Parameter,[J^(1/2)/cm^(3/2)],,,,
Surface Tension,[mN/m],,,,
Temperature,[oC],,,,
Thermal Conductivity,[W/m/K],+,,,
Time,[minutes],+,,,
UV cutoff,[nm],,,,
Vapor pressure,[kPa],+,,,
Viscosity,[mPas],+,,,
Weight percent,[weight percent],,,,
Decomposition temperature,[oC],,,,
minutes,-,,,,
celsius,-,,,,
percent,-,,,,
[s/cm],-,,,,



